【  卫视频道  】,#genre#
天津卫视,http://113.65.7.195:8888/udp/239.77.1.182:5146
天津卫视,http://60.220.167.202:8083/rtp/226.0.2.148:9096
天津卫视,http://60.223.72.166:8002/rtp/226.0.2.148:9096
天津卫视,http://113.206.196.64:8001/udp/225.0.4.82:7980
天津卫视K1,http://222.218.159.142:8181/tsfile/live/faacts/1108_1.m3u8
宁夏卫视,http://120.224.7.90:809/hls/233/index.m3u8
宁夏卫视,http://183.191.226.123:8082/rtp/226.0.2.64:8424
宁夏卫视,http://60.220.167.249:8083/rtp/226.0.2.64:8424
宁夏卫视,http://60.220.167.202:8083/rtp/226.0.2.64:8424
宁夏卫视,http://60.220.167.249:8084/rtp/226.0.2.64:8424
宁夏卫视,http://60.220.167.37:8083/rtp/226.0.2.64:8424
宁夏卫视,http://60.220.167.143:8084/rtp/226.0.2.64:8424
宁夏卫视,http://183.185.223.211:8085/rtp/226.0.2.64:8424
宁夏卫视,http://60.220.167.249:8082/rtp/226.0.2.64:8424
宁夏卫视,http://60.220.167.37:8082/rtp/226.0.2.64:8424
宁夏卫视,http://60.223.72.168:8002/rtp/226.0.2.64:8424
宁夏卫视,http://60.223.72.166:8002/rtp/226.0.2.64:8424
宁夏卫视,http://60.223.72.235:8001/rtp/226.0.2.64:8424
宁夏卫视,http://223.10.22.26:8082/udp/239.1.1.56:8056
宁夏卫视,http://183.191.226.123:8083/rtp/226.0.2.64:8424
安徽卫视,http://222.218.159.142:8181/tsfile/live/0130_1.m3u8
安徽卫视,http://111.225.93.23:8800/hls/33/index.m3u8
安徽卫视,http://171.104.193.220:8181/tsfile/live/0130_1.m3u8
安徽卫视,http://223.240.51.168:4022/rtp/238.1.79.27:4328
安徽卫视,http://223.240.51.168:4022/rtp/238.1.78.150:7072
安徽卫视,http://60.223.72.235:8001/rtp/226.0.2.145:9072
安徽卫视,http://117.66.232.105:2000/rtp/238.1.79.27:4328
安徽卫视,http://113.65.7.195:8888/udp/239.77.1.157:5146
安徽卫视,http://223.10.30.103:8083/udp/239.1.1.44:8044
安徽卫视,http://27.10.135.143:8002/udp/225.0.4.133:7980
安徽卫视,http://123.144.22.226:8002/udp/225.0.4.133:7980
安徽卫视,http://110.179.80.141:8083/udp/239.1.1.44:8044
安徽卫视,http://114.99.243.226:8888/rtp/238.1.79.27:4328
安徽卫视,http://113.65.252.5:3333/udp/239.77.1.157:5146
安徽卫视,http://113.65.7.195:8888/udp/239.77.1.92:5146
山东卫视,http://113.110.72.127:8090/hls/133/index.m3u8
山东卫视,http://110.72.72.152:808/hls/35/index.m3u8
山东卫视,http://113.64.145.95:8081/hls/75/index.m3u8
山东卫视,http://110.72.68.189:8181/tsfile/live/0131_1.m3u8
山东卫视,http://183.1.251.10:8081/hls/75/index.m3u8
山东卫视,http://171.104.195.8:8181/tsfile/live/0131_1.m3u8
山东卫视,http://171.104.193.220:8181/tsfile/live/0131_1.m3u8
山东卫视,http://111.225.93.23:8800/hls/37/index.m3u8
山东卫视,http://110.72.60.81:808/hls/38/index.m3u8
山东卫视,http://112.46.85.60:8002/hls/40/index.m3u8
山东卫视,http://219.128.40.214:8888/udp/239.77.0.132:5146
山东卫视,http://113.111.17.115:8888/udp/239.77.0.132:5146
山东卫视,http://14.115.91.236:6868/udp/239.77.0.132:5146
山东卫视,http://123.144.22.226:8001/udp/225.0.4.199:7980
山东卫视,http://60.223.72.235:8001/rtp/226.0.2.149:9104
山东教育卫视,http://110.72.72.102:808/hls/36/index.m3u8
山东教育卫视,http://113.64.145.244:8081/hls/72/index.m3u8
山东教育卫视,http://60.220.167.143:8083/rtp/226.0.2.130:8952
山东教育卫视,http://60.220.167.249:8083/rtp/226.0.2.130:8952
山东教育卫视,http://60.220.167.202:8083/rtp/226.0.2.130:8952
山东教育卫视,http://60.220.167.37:8082/rtp/226.0.2.130:8952
山东教育卫视,http://60.220.167.143:8084/rtp/226.0.2.130:8952
山东教育卫视,http://60.220.167.249:8082/rtp/226.0.2.130:8952
山东教育卫视,http://60.220.167.249:8084/rtp/226.0.2.130:8952
山东教育卫视,http://60.220.167.37:8083/rtp/226.0.2.130:8952
山东教育卫视,http://183.191.226.123:8083/rtp/226.0.2.130:8952
山东教育卫视,http://183.191.226.123:8082/rtp/226.0.2.130:8952
山东教育卫视,http://60.220.167.37:8084/rtp/226.0.2.130:8952
山东教育卫视,http://60.223.72.235:8001/rtp/226.0.2.130:8952
山东教育卫视,http://223.10.30.103:8083/udp/239.1.1.74:8074
山东教育卫视卫视,http://223.242.156.33:4022/rtp/238.1.78.254:7904
山东教育卫视卫视,http://118.114.96.50:8889/udp/239.93.1.196:5140
山东教育卫视卫视,http://125.71.122.30:8888/udp/239.93.1.196:5140
山东教育卫视卫视,http://171.213.36.107:8888/udp/239.93.1.196:5140
山东教育卫视卫视,http://118.112.149.50:4022/udp/239.93.1.196:5140
山东教育卫视卫视,http://118.114.168.248:4455/udp/239.93.1.196:5140
山东教育卫视卫视,http://171.217.52.64:1880/udp/239.93.1.196:5140
山西卫视,http://110.72.74.62:808/hls/42/index.m3u8
山西卫视,http://110.72.60.81:808/hls/46/index.m3u8
山西卫视,http://171.104.193.220:8181/tsfile/live/0118_1.m3u8
山西卫视,http://111.225.93.23:8800/hls/53/index.m3u8
山西卫视,http://113.24.136.243:8084/udp/239.1.1.1:8001
山西卫视,http://60.220.167.143:8084/rtp/226.0.2.152:9128
山西卫视,http://171.104.195.8:8181/tsfile/live/0118_1.m3u8
山西卫视,http://110.72.68.189:8181/tsfile/live/0118_1.m3u8
山西卫视,http://110.179.80.141:8083/udp/239.1.1.1:8001
山西卫视,http://223.10.30.103:8083/udp/239.1.1.1:8001
山西卫视,http://60.220.167.249:8082/rtp/226.0.2.152:9128
山西卫视,http://110.179.81.164:8082/udp/239.1.1.1:8001
山西卫视,http://60.223.72.168:8002/rtp/226.0.2.152:9128
山西卫视,http://60.223.72.235:8001/rtp/226.0.2.152:9128
山西卫视,http://60.220.167.202:8083/rtp/226.0.2.152:9128
广东卫视,http://125.88.8.114:9901/tsfile/live/0019_1.m3u8
广东卫视,http://110.72.68.189:8181/tsfile/live/0125_1.m3u8
广东卫视,http://111.225.93.23:8800/hls/49/index.m3u8
广东卫视,http://171.104.195.8:8181/tsfile/live/0125_1.m3u8
广东卫视,http://110.72.60.81:808/hls/35/index.m3u8
