【  卡通频道  】,#genre#
重庆少儿_联通,http://123.145.12.76:8004/udp/225.0.4.191:7980
重庆少儿_联通,http://123.145.76.160:4000/udp/225.0.4.191:7980
重庆少儿_联通,http://123.144.85.202:8005/udp/225.0.4.191:7980
重庆少儿_联通,http://27.11.249.153:8010/udp/225.0.4.191:7980
重庆少儿_联通,http://113.206.158.89:8004/udp/225.0.4.191:7980
重庆少儿_联通,http://27.10.208.156:8005/udp/225.0.4.191:7980
重庆少儿_联通,http://27.10.0.236:8005/udp/225.0.4.191:7980
重庆少儿_联通,http://113.206.182.61:8888/udp/225.0.4.191:7980
重庆少儿_联通,http://123.145.51.46:8005/udp/225.0.4.191:7980
重庆少儿_联通,http://123.144.184.65:55555/udp/225.0.4.191:7980
金熊猫卡通_电信,http://118.114.188.36:8888/udp/239.93.1.172:5140
金熊猫卡通_电信,http://125.70.83.142:55555/udp/239.93.1.172:5140
金熊猫卡通_电信,http://171.214.202.208:4000/udp/239.93.1.172:5140
金熊猫卡通_电信,http://110.188.37.163:55555/udp/239.93.1.172:5140
金鹰卡通F_电信,http://113.222.40.76:8882/udp/239.76.245.120:1234
金鹰卡通F_电信,http://175.10.56.41:4022/udp/239.76.245.120:1234
金鹰卡通_其他,http://1.70.32.95:8085/udp/239.1.1.61:8061
金鹰卡通_电信,http://113.222.40.76:8882/udp/239.76.252.120:9000
金鹰卡通_电信,http://175.10.56.41:4022/udp/239.76.246.107:1234
金鹰卡通_电信,http://175.10.56.41:4022/udp/239.76.252.120:9000
金鹰卡通_电信,http://175.10.56.41:4022/udp/239.76.253.107:9000
金鹰卡通_电信,http://59.175.18.100:8888/rtp/239.69.1.248:11130
金鹰卡通_电信,http://119.98.125.196:4022/rtp/239.69.1.248:11130
金鹰卡通_电信,http://59.174.209.2:4022/rtp/239.69.1.248:11130
金鹰卡通_电信,http://113.222.40.76:8882/udp/239.76.246.107:1234
金鹰卡通_电信,http://222.241.145.143:8888/udp/239.76.246.107:1234
金鹰卡通_电信,http://118.114.188.36:8888/udp/239.93.0.108:5140
金鹰卡通_电信,http://114.98.190.41:2000/rtp/238.1.78.100:6672
金鹰卡通_电信,http://114.98.190.44:2000/rtp/238.1.78.100:6672
金鹰卡通_电信,http://117.66.254.58:2000/rtp/238.1.78.100:6672
金鹰卡通_电信,http://183.164.53.33:4022/rtp/238.1.78.100:6672
金鹰卡通_电信,http://115.171.251.148:8888/udp/225.1.8.163:9252
金鹰卡通_电信,http://114.98.190.45:2000/rtp/238.1.78.100:6672
金鹰卡通_移动,http://dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221225744/index.m3u8
金鹰卡通_联通,http://219.156.116.137:808/hls/61/index.m3u8
金鹰卡通_联通,http://171.116.210.162:8003/rtp/226.0.2.172:9288
金鹰卡通_联通,http://60.223.72.253:8001/rtp/226.0.2.172:9288
金鹰卡通_联通,http://123.10.76.176:808/hls/65/index.m3u8
金鹰卡通_联通,http://118.81.201.143:8085/rtp/226.0.2.172:9288
金鹰卡通_联通,http://221.205.135.124:8085/rtp/226.0.2.172:9288
金鹰卡通_联通,http://221.221.159.57:8182/rtp/239.3.1.51:9252
金鹰卡通_联通,http://171.120.111.89:8085/rtp/226.0.2.172:9288
金鹰卡通_联通,http://171.120.111.64:8085/rtp/226.0.2.172:9288
金鹰卡通_联通,http://60.220.167.217:8085/rtp/226.0.2.172:9288
